                    Logit Regression Results                    
Dep. Variable:,y               ,  No. Observations:  , 18165    
Model:        ,Logit           ,  Df Residuals:      , 18162    
Method:       ,MLE             ,  Df Model:          ,     2    
Date:         ,Mon, 08 Apr 2019,  Pseudo R-squ.:     ,0.01836   
Time:         ,15:27:03        ,  Log-Likelihood:    , -12269.  
converged:    ,True            ,  LL-Null:           , -12498.  
              ,                ,  LLR p-value:       ,2.144e-100
  ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
x1,   -0.0358,    0.017,   -2.114, 0.034,   -0.069,   -0.003
x2,   -0.6406,    0.045,  -14.132, 0.000,   -0.730,   -0.552
x3,   -0.9738,    0.050,  -19.582, 0.000,   -1.071,   -0.876
